"RMSE";"Rsquared";"MAE";"Model";"Floor";"Building";"LongLat";"approach"
6,85647940772011;0,77186099392364;5,26888285618098;"glmnet";"F3";"B1";"Lat";"Minimal"
9,08451775380455;0,932027675227143;7,48614954802143;"glmnet";"F3";"B1";"Long";"Minimal"
2,28759769921858;0,9631894088975;1,63914934720489;"rf";"F3";"B1";"Lat";"Minimal"
2,39993217660277;0,995140423374396;1,72570376648564;"rf";"F3";"B1";"Long";"Minimal"
2,87830656906113;0,944371977054055;1,53429685471846;"knn";"F3";"B1";"Lat";"Minimal"
3,78601728411729;0,98792514123473;2,3749412897186;"knn";"F3";"B1";"Long";"Minimal"
5,88266600375213;0,916635623499277;2,32940709404344;"kknn";"F3";"B2";"Lat";"Minimal"
5,00656232888215;0,962922623929498;2,22671581042242;"kknn";"F3";"B2";"Long";"Minimal"
9,44243034550816;0,784592703348201;7,44015788632498;"glmnet";"F3";"B2";"Lat";"Minimal"
11,0964260999662;0,819651303752318;7,79185000416039;"glmnet";"F3";"B2";"Long";"Minimal"
3,21459227742472;0,974758712971655;1,92477903086692;"rf";"F3";"B2";"Lat";"Minimal"
5,09695981632703;0,961903770772568;2,17235962818863;"rf";"F3";"B2";"Long";"Minimal"
2,94793227612792;0,978618941313267;1,65286498237553;"knn";"F3";"B2";"Lat";"Minimal"
2,72825263040197;0,989016386976849;1,67411861547882;"knn";"F3";"B2";"Long";"Minimal"
2,13183910204597;0,986924058292958;1,40189288088734;"kknn";"F2";"B2";"Lat";"Minimal"
2,78361403524562;0,989490383847462;1,28004165493888;"kknn";"F2";"B2";"Long";"Minimal"
7,47501890298496;0,844931654970411;6,19852024325509;"glmnet";"F2";"B2";"Lat";"Minimal"
9,8481672997356;0,865895847195552;7,49648424261384;"glmnet";"F2";"B2";"Long";"Minimal"
2,16262423796323;0,986537776865003;1,34082062516897;"rf";"F2";"B2";"Lat";"Minimal"
2,0791769827306;0,993921606519401;1,18819623806726;"rf";"F2";"B2";"Long";"Minimal"
1,98599491060153;0,988567624525802;1,32632004541585;"knn";"F2";"B2";"Lat";"Minimal"
2,08150826601104;0,994234375510964;1,35392058674457;"knn";"F2";"B2";"Long";"Minimal"
2,75991728195661;0,971734271731095;1,56419525328645;"kknn";"F0";"B0";"Lat";"Test&Train"
2,52614709563699;0,97469158970921;1,53754842603603;"kknn";"F0";"B0";"Long";"Test&Train"
5,52703315829339;0,920856992355196;4,07371239973453;"glmnet";"F0";"B0";"Lat";"Test&Train"
7,92914578372294;0,76386774880762;6,32047911467803;"glmnet";"F0";"B0";"Long";"Test&Train"
2,44720902779065;0,977068184034527;1,34635220717449;"rf";"F0";"B0";"Lat";"Test&Train"
3,93855749840445;0,942025815466316;1,77414660887355;"rf";"F0";"B0";"Long";"Test&Train"
2,52488941708509;0,976018846731568;1,32486822759196;"knn";"F0";"B0";"Lat";"Test&Train"
2,38630326690638;0,977501151416049;1,16547877989747;"knn";"F0";"B0";"Long";"Test&Train"
7,64061010999872;0,930702179760518;5,79463677683516;"glmnet";"F2";"B0";"Lat";"Test&Train"
5,18756207251482;0,948110225950989;4,09503814136487;"glmnet";"F2";"B0";"Long";"Test&Train"
2,32471454292505;0,993879458111225;1,47701593366835;"rf";"F2";"B0";"Lat";"Test&Train"
3,05463101543203;0,983154029991517;1,86953493771604;"rf";"F2";"B0";"Long";"Test&Train"
2,19727338946837;0,994384660977646;1,20462364267339;"knn";"F2";"B0";"Lat";"Test&Train"
3,52641250012987;0,979624881867349;1,86008510144748;"knn";"F2";"B0";"Long";"Test&Train"
1,08632782302649;0,997161288757249;0,671956528816372;"kknn";"F1";"B0";"Lat";"Test&Train"
2,45464818623416;0,993368304136008;1,59652466457695;"kknn";"F1";"B0";"Long";"Test&Train"
6,43757931769933;0,917973880267707;5,35319986841641;"glmnet";"F1";"B0";"Lat";"Test&Train"
6,21991460604272;0,96030290330349;4,91419930570362;"glmnet";"F1";"B0";"Long";"Test&Train"
2,30444967362233;0,988673349003349;1,05625077857636;"rf";"F1";"B0";"Lat";"Test&Train"
2,80719105827076;0,991410881977415;1,69521183634236;"rf";"F1";"B0";"Long";"Test&Train"
1,35766694395429;0,99568407147687;0,669476097663865;"knn";"F1";"B0";"Lat";"Test&Train"
3,07723047717003;0,98922720424822;1,65485181086957;"knn";"F1";"B0";"Long";"Test&Train"
2,36883251611853;0,977597765809086;1,40150861106813;"kknn";"F3";"B0";"Lat";"Test&Train"
2,94470711936745;0,979843245040039;1,83870464575674;"kknn";"F3";"B0";"Long";"Test&Train"
4,82696037282093;0,883323904486767;3,34157102111388;"glmnet";"F3";"B0";"Lat";"Test&Train"
6,61186533260235;0,898301156881003;4,59669862901299;"glmnet";"F3";"B0";"Long";"Test&Train"
1,54734354868566;0,988807023773886;1,00248492092571;"rf";"F3";"B0";"Lat";"Test&Train"
4,29235977214769;0,956615361531574;2,03926114837938;"rf";"F3";"B0";"Long";"Test&Train"
1,70281373114895;0,986868901175173;0,934091999940574;"knn";"F3";"B0";"Lat";"Test&Train"
2,23837656041632;0,987874757665274;1,40442121215843;"knn";"F3";"B0";"Long";"Test&Train"
2,80391778109178;0,987609377831439;1,25036532522963;"kknn";"F2";"B1";"Lat";"Test&Train"
2,96882726402329;0,989502695974309;1,16636345484477;"kknn";"F2";"B1";"Long";"Test&Train"
5,9677960652621;0,945067175729432;4,41097120515225;"glmnet";"F2";"B1";"Lat";"Test&Train"
8,79732946857833;0,920282192524012;6,9338608769112;"glmnet";"F2";"B1";"Long";"Test&Train"
2,16196105032399;0,993100335933959;1,42216144453252;"rf";"F2";"B1";"Lat";"Test&Train"
2,93837503553959;0,990862926496552;2,0365679654347;"rf";"F2";"B1";"Long";"Test&Train"
2,10444148762979;0,99321824398634;1,1673074192066;"knn";"F2";"B1";"Lat";"Test&Train"
3,21386074326577;0,988026599074282;1,51394743822087;"knn";"F2";"B1";"Long";"Test&Train"
2,59655631081389;0,979246020113841;1,40689500253179;"kknn";"F0";"B1";"Lat";"Test&Train"
3,41494174908852;0,956911298123514;1,6998992164614;"kknn";"F0";"B1";"Long";"Test&Train"
7,07979821614835;0,856868862319;5,67243372204965;"glmnet";"F0";"B1";"Lat";"Test&Train"
6,27914424711877;0,857903877921539;4,79861814249873;"glmnet";"F0";"B1";"Long";"Test&Train"
2,48400699995961;0,985828251367784;1,8198267868105;"rf";"F0";"B1";"Lat";"Test&Train"
2,60445615057112;0,979105362568185;1,8235217614285;"rf";"F0";"B1";"Long";"Test&Train"
2,2933315498413;0,98539605613903;1,42417437643539;"knn";"F0";"B1";"Lat";"Test&Train"
2,99089721384014;0,972519847975045;1,64653650251858;"knn";"F0";"B1";"Long";"Test&Train"
5,64901836264521;0,978330021988245;2,6195287374582;"kknn";"F1";"B1";"Lat";"Test&Train"
4,33937449674996;0,987868087211613;2,45182546320137;"kknn";"F1";"B1";"Long";"Test&Train"
9,5216574558659;0,945012950980944;7,16958698219422;"glmnet";"F1";"B1";"Lat";"Test&Train"
